Name,Barcode,C. Code,Supplier,Product Type,Category,Sub Category,Aging,Target,final price,Final PUR,Status
F008049,F008049,23Q5,LA PARAH,JEWELLERY BOXES,HOME & LIVING,STORAGE & ORGANIZER,24Q1,LADY,299,170.1743684,2. Barcode Printed
F008050,F008050,23Q5,LA PARAH,JEWELLERY BOXES,HOME & LIVING,STORAGE & ORGANIZER,24Q1,LADY,699,264.7156842,2. Barcode Printed
F008051,F008051,23Q5,LA PARAH,JEWELLERY BOXES,HOME & LIVING,STORAGE & ORGANIZER,24Q1,LADY,2399,709.0598684,2. Barcode Printed
F008053,F008053,23Q5,LA PARAH,MIRRORED SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,LADY,649,116.3585425,2. Barcode Printed
F008057,F008057,23Q5,LA PARAH,STORAGE BOXES,HOME & LIVING,STORAGE & ORGANIZER,24Q1,LADY,399,133.8123239,2. Barcode Printed
F008058,F008058,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1249,241.0803552,2. Barcode Printed
F008059,F008059,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1349,311.9863421,2. Barcode Printed
F008056,F008056,23Q5,LA PARAH,STORAGE BOXES,HOME & LIVING,STORAGE & ORGANIZER,24Q1,LADY,2199,459.9798633,2. Barcode Printed
F008060,F008060,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,349,89.81424999,2. Barcode Printed
F008061,F008061,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,349,80.36011841,2. Barcode Printed
F008062,F008062,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,299,66.17892105,2. Barcode Printed
F008063,F008063,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,229,47.27065789,2. Barcode Printed
F008064,F008064,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,399,89.81424999,2. Barcode Printed
F008065,F008065,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,299,85.0871842,2. Barcode Printed
F008066,F008066,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,1549,359.257,2. Barcode Printed
F008070,F008070,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,549,155.993171,2. Barcode Printed
F008071,F008071,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,449,122.9037105,2. Barcode Printed
F008073,F008073,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,249,89.81424999,2. Barcode Printed
F008074,F008074,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,249,85.0871842,2. Barcode Printed
F008075,F008075,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,299,122.9037105,2. Barcode Printed
F008082,F008082,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,349,80.36011841,2. Barcode Printed
F008083,F008083,23Q5,LA PARAH,BAGS,BAGS & WALLETS,BAGS,24Q1,LADY,349,80.36011841,2. Barcode Printed
F008086,F008086,23Q5,LA PARAH,JEWELLERY BOXES,HOME & LIVING,STORAGE & ORGANIZER,24Q1,LADY,2099,1229.037105,2. Barcode Printed
F008087,F008087,23Q5,LA PARAH,JEWELLERY BOXES,HOME & LIVING,STORAGE & ORGANIZER,24Q1,LADY,3149,1512.661052,2. Barcode Printed
F008088,4.51652E+12,23Q5,LA PARAH,POCKET MIRROR,HEALTH & BEAUTY,BEAUTY ACCESSORIES,24Q1,LADY,1949,581.7927125,2. Barcode Printed
